,,,,,,,"Lưu ý 
Phòng studio : Tối đa ở 2 người 2  xe, thêm người thứ 3 tuỳ căn
Phòng gác xép: tối đa ở 3 người , free 2 xe, từ xe thứ 3 thêm 80k. Thêm người thứ 4 tăng 500k giá phòng.
Phòng 2 ngủ hoặc 2 ngủ duplex: Tối đa 4 người , free 4 xe.Đối với các căn nhà xe trật,cần trao đổi trên nhóm.
Phòng 3 ngủ: Tối đa 5 người 5 xe.
",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày giờ cập nhật 01:20-18/07,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Tòa,Phòng,Khu vực,"Hình ảnh,video",Loại phòng,Diện tích (m2),Giá (VND),"Dịch vụ theo căn
","Tình trạng
Trống",,Nội thất,,Số dẫn,,,,,,,,,,,,,,
,"Nhà Tập Thể Ngõ 68 Quan Nhân
",305,Cầu Giấy,"Hình ảnh, video","3 Ngủ 1 Khách
2 Vệ Sinh",104m2,"11,000,000 đ","Điện 3k3
Nước 25k
Free DV
Tối đa ở 6",Có khách,,Full đồ như ảnh,"Bảo Chấn
X9","0934686094
",,,,,,,,,,,,,,
,"Số 23. Đường 800A
Nghĩa Đô
Cầu Giấy",402,Cầu Giấy,https://drive.google.com/drive/folders/1L40lXPSxTuSO_sjwXaDkobZYmVJl8wDJ,2 Ngủ ,45,"9,300,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người
Không nuôi pet, tối đa ở 4, không xe điện, không người nước ngoài",Có khách,,Full đồ như ảnh,"Bảo Chấn
X9","0934686094
0967691507",,,,,,,,,,,,,,
,"Số 9 Ngách 39
 Ngõ 381 Nguyễn Khang",203,Cầu Giấy,"Hình ảnh, video","2 Ngủ 1 khách
",45,"9,000,000 đ","Điện 3800k/1 số
Nước 32.000/1 khối
Mạng 100k/phòng
Rác 25k/người
Thang máy 50k/người
Vệ sinh chung, điện hành lang: 30k/người
",Có khách,,Full đồ như ảnh,"Bảo Chấn
X9","0934686094
",,,,,,,,,,,,,,
,235A Yên Hoà,201,Cầu Giấy,https://drive.google.com/drive/u/0/folders/1GCOJ466FJyvoURti8Sj_O1x3omL3gIIR,Studio,26,"5,300,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 80k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 200.000/phòng",31/07,"Giặt sấy tầng 1,
 có thể phơi đồ sân thượng T7",Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
1,số 23 Đường 800A Nghĩa Đô,201,Cầu Giấy,video ib,Studio,28,"6,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người",trống,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
2,số 23 Đường 800A Nghĩa Đô,702,Cầu Giấy,"Hình ảnh, video",2 Ngủ 1 khách,40,"9,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người
Không nuôi chó, tối đa ở 4, không xe điện, không người nước ngoài",trống,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,"Số 9 Ngách 39
 Ngõ 381 Nguyễn Khang",204,Cầu Giấy,"Hình ảnh, video",2 Ngủ,45,"9,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người
Không nuôi chó, tối đa ở 4, không xe điện, không người nước ngoài",31/07,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
,số 73 Ngõ 37 Nguyễn Thị Định,601,Cầu Giấy,chưa có ảnh,"Studio
",24,"6,000,000 đ","Điện 4k/số
Nước 32k/1 khối
mạng 100k/phòng
Dịch vụ khác: vệ sinh/điện chung, thang máy, rác 120.000/người
Không nuôi chó, tối đa ở 4, không xe điện, không người nước ngoài",31/07,,Full đồ như ảnh,Bảo Chấn,0934686094,,,,,,,,,,,,,,
